cas number,iso-SMILES,canonical-SMILES
53981-69-4,CC(=O)C1=NC=CN1,CC(=O)C1=NC=CN1
153334-29-3,CC(=O)C1=NC=NN1,CC(=O)C1=NC=NN1
77311-07-0,CC(=O)C1=NC=CO1,CC(=O)C1=NC=CO1
859046-10-9,CC(=O)C1=COC=N1,CC(=O)C1=COC=N1
1122-62-9,CC(=O)C1=CC=CC=N1,CC(=O)C1=CC=CC=N1
22047-25-2,CC(=O)C1=NC=CN=C1,CC(=O)C1=NC=CN=C1
39870-05-8,CC(=O)C1=NC=NC=C1,CC(=O)C1=NC=NC=C1
53342-27-1,CC(=O)C1=NC=CC=N1,CC(=O)C1=NC=CC=N1
2524-90-5,CC1=CN=C(N1)C(=O)C,CC1=CN=C(N1)C(=O)C
85692-37-1,CC(=O)C1=NC=CN1C,CC(=O)C1=NC=CN1C
90892-97-0,CC1=COC(=N1)C(=O)C,CC1=COC(=N1)C(=O)C
106535-28-8,CC(=O)C1=NC=NN1C,CC(=O)C1=NC=NN1C
861334-81-8,CC1=NC(=NO1)C(=O)C,CC1=NC(=NO1)C(=O)C
24295-03-2,CC(=O)C1=NC=CS1,CC(=O)C1=NC=CS1
38205-66-2,CC(=O)C1=CSC=N1,CC(=O)C1=CSC=N1
29926-41-8,CC(=O)C1=NCCS1,CC(=O)C1=NCCS1
6940-57-4,CC1=NC(=CC=C1)C(=O)C,CC1=NC(=CC=C1)C(=O)C
3238-55-9,CCC(=O)C1=CC=CC=N1,CCC(=O)C1=CC=CC=N1
59576-26-0,CC1=CC(=NC=C1)C(=O)C,CC1=CC(=NC=C1)C(=O)C
5308-63-4,CC1=CN=C(C=C1)C(=O)C,CC1=CN=C(C=C1)C(=O)C
85279-30-7,CC1=C(N=CC=C1)C(=O)C,CC1=C(N=CC=C1)C(=O)C
22047-27-4,CC1=CN=C(C=N1)C(=O)C,CC1=CN=C(C=N1)C(=O)C
23787-80-6,CC1=NC=CN=C1C(=O)C,CC1=NC=CN=C1C(=O)C
13210-25-8,CC(=O)C1=C(C=CC=N1)N,CC(=O)C1=C(C=CC=N1)N
67860-38-2,CC1=NC=CC(=N1)C(=O)C,CC1=NC=CC(=N1)C(=O)C
67073-96-5,CC1=CC(=NC=N1)C(=O)C,CC1=CC(=NC=N1)C(=O)C
122372-22-9,CC1=CN=C(N=C1)C(=O)C,CC1=CN=C(N=C1)C(=O)C
51460-32-3,CC(=O)C1=NC=C(C=C1)N,CC(=O)C1=NC=C(C=C1)N
106157-82-8,CC(=O)C1=NC(=NC=C1)N,CC(=O)C1=NC(=NC=C1)N
13210-29-2,CC(=O)C1=C(C=CC=N1)O,CC(=O)C1=C(C=CC=N1)O
121246-93-3,CC(=O)C1=NC=CN=C1N,CC(=O)C1=NC=CN=C1N
501009-05-8,CC(=O)C1=NC(=CC=C1)F,CC(=O)C1=NC(=CC=C1)F
87674-20-2,CC(=O)C1=C(C=CC=N1)F,CC(=O)C1=C(C=CC=N1)F
915720-54-6,CC(=O)C1=NC=C(C=C1)F,CC(=O)C1=NC=C(C=C1)F
23000-12-6,CC1=C(N=C(O1)C)C(=O)C,CC1=C(N=C(O1)C)C(=O)C
898759-12-1,CC(C)C(=O)C1=NC=CO1,CC(C)C(=O)C1=NC=CO1
905587-44-2,CC(=O)C1=NC=C(C=N1)F,CC(=O)C1=NC=C(C=N1)F
43039-98-1,CCC(=O)C1=NC=CS1,CCC(=O)C1=NC=CS1
59303-17-2,CC1=CN=C(S1)C(=O)C,CC1=CN=C(S1)C(=O)C
23002-78-0,CC1=NC(=CS1)C(=O)C,CC1=NC(=CS1)C(=O)C
7533-07-5,CC1=CSC(=N1)C(=O)C,CC1=CSC(=N1)C(=O)C
101258-16-6,CC(=O)C1=CSC(=N1)N,CC(=O)C1=CSC(=N1)N
1216314-67-8,C1=C(N=CO1)C(=O)CCl,C1=C(N=CO1)C(=O)CCl
37398-49-5,CC(=O)C1=NC=CC(=C1)C#N,CC(=O)C1=NC=CC(=C1)C#N
54123-21-6,C1=CC=NC(=C1)C(=O)CC#N,C1=CC=NC(=C1)C(=O)CC#N
57276-28-5,C1CC1C(=O)C2=CC=CC=N2,C1CC1C(=O)C2=CC=CC=N2
59576-30-6,CC(C)C(=O)C1=CC=CC=N1,CC(C)C(=O)C1=CC=CC=N1
22971-32-0,CCCC(=O)C1=CC=CC=N1,CCCC(=O)C1=CC=CC=N1
165126-71-6,CCC(=O)C1=CC=CC(=N1)C,CCC(=O)C1=CC=CC(=N1)C
32974-92-8,CCC1=NC=CN=C1C(=O)C,CCC1=NC=CN=C1C(=O)C
54300-08-2,CC1=CN=C(C(=N1)C)C(=O)C,CC1=CN=C(C(=N1)C)C(=O)C
54300-09-3,CC1=CN=C(C(=N1)C(=O)C)C,CC1=CN=C(C(=N1)C(=O)C)C
325796-84-7,CC(=O)C1=NC=C(C=C1)OC,CC(=O)C1=NC=C(C=C1)OC
21190-93-2,CC(=O)C1=NC(=CC=C1)OC,CC(=O)C1=NC(=CC=C1)OC
105729-06-4,COCC(=O)C1=CC=CC=N1,COCC(=O)C1=CC=CC=N1
59576-28-2,CC(=O)C1=NC=CC(=C1)OC,CC(=O)C1=NC=CC(=C1)OC
379227-03-9,CC(=O)C1=C(C=CC=N1)OC,CC(=O)C1=C(C=CC=N1)OC
898759-14-3,CC(C)(C)C(=O)C1=NC=CO1,CC(C)(C)C(=O)C1=NC=CO1
94952-46-2,CC(=O)C1=NC=C(C=C1)Cl,CC(=O)C1=NC=C(C=C1)Cl
152356-57-5,CC(=O)C1=NC(=CC=C1)Cl,CC(=O)C1=NC(=CC=C1)Cl
60159-37-7,CC(=O)C1=NC=CC(=C1)Cl,CC(=O)C1=NC=CC(=C1)Cl
131109-75-6,CC(=O)C1=C(C=CC=N1)Cl,CC(=O)C1=C(C=CC=N1)Cl
40353-62-6,CC1=C(N=C(S1)N)C(=O)C,CC1=C(N=C(S1)N)C(=O)C
160252-31-3,CC(=O)C1=CN=C(C=N1)Cl,CC(=O)C1=CN=C(C=N1)Cl
121246-90-0,CC(=O)C1=NC=CN=C1Cl,CC(=O)C1=NC=CN=C1Cl
210295-81-1,CC(=O)C1=CC(=NC=N1)Cl,CC(=O)C1=CC(=NC=N1)Cl
80459-00-3,C1=CC=NC(=C1)C(=O)C(F)F,C1=CC=NC(=C1)C(=O)C(F)F
1075756-90-9,CC(=O)C1=C(C=C(C=N1)F)F,CC(=O)C1=C(C=C(C=N1)F)F
939-70-8,CC(=O)C1=NC2=CC=CC=C2N1,CC(=O)C1=NC2=CC=CC=C2N1
602313-68-8,CC(=O)C1=CN2C=CC=CC2=N1,CC(=O)C1=CN2C=CC=CC2=N1
1314916-37-4,CCC(=O)C1=NC=CN1.Cl,CCC(=O)C1=NC=CN1.Cl
122433-29-8,CC(=O)C1=NC2=CC=CC=C2O1,CC(=O)C1=NC2=CC=CC=C2O1
1129-30-2,CC(=O)C1=NC(=CC=C1)C(=O)C,CC(=O)C1=NC(=CC=C1)C(=O)C
40614-52-6,CC(=O)CC(=O)C1=CC=CC=N1,CC(=O)CC(=O)C1=CC=CC=N1
6952-53-0,CC(C)CC(=O)C1=CC=CC=N1,CC(C)CC(=O)C1=CC=CC=N1
7137-97-5,CCCCC(=O)C1=CC=CC=N1,CCCCC(=O)C1=CC=CC=N1
31595-32-1,CC(C)(C)C(=O)C1=CC=CC=N1,CC(C)(C)C(=O)C1=CC=CC=N1
137853-21-5,CC(C)C1=CN=C(C=C1)C(=O)C,CC(C)C1=CN=C(C=C1)C(=O)C
89942-59-6,CC(=O)C1=C(C=CC=N1)C(=O)O,CC(=O)C1=C(C=CC=N1)C(=O)O
31557-75-2,CC(=O)C1=NC=C(C=C1)[N+](=O)[O-],CC(=O)C1=NC=C(C=C1)[N+](=O)[O-]
496863-48-0,CC(=O)C1=NC(=NC=C1)SC,CC(=O)C1=NC(=NC=C1)SC
1095824-76-2,CC(=O)C1=NC=C(S1)C(=O)O,CC(=O)C1=NC=C(S1)C(=O)O
1011-47-8,CC(=O)C1=NC2=CC=CC=C2C=C1,CC(=O)C1=NC2=CC=CC=C2C=C1
91544-03-5,CC(=O)C1=CC2=CC=CC=C2C=N1,CC(=O)C1=CC2=CC=CC=C2C=N1
58022-21-2,CC(=O)C1=NC=CC2=CC=CC=C21,CC(=O)C1=NC=CC2=CC=CC=C21
73150-67-1,C1=C(N=C(S1)N)C(=O)C(=O)O,C1=C(N=C(S1)N)C(=O)C(=O)O
38353-02-5,C1=CC=C(C=C1)C(=O)C2=NC=CN2,C1=CC=C(C=C1)C(=O)C2=NC=CN2
