cas number,iso-SMILES,canonical-SMILES
124-68-5,CC(C)(CO)N,CC(C)(CO)N
2756-85-6,C1CCC(CC1)(C(=O)O)N,C1CCC(CC1)(C(=O)O)N
115-70-8,CCC(CO)(CO)N,CCC(CO)(CO)N
4502-13-0,CC(CC1=CC=C(C=C1)O)(C(=O)OC)N,CC(CC1=CC=C(C=C1)O)(C(=O)OC)N
107-45-9,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N
75-64-9,CC(C)(C)N,CC(C)(C)N
141-94-6,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
5824-40-8,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)N
71746-73-1,CC(CCC(=O)O)(C(=O)O)N.CC(CCC(=O)O)(C(=O)O)N.O,CC(CCC(=O)O)(C(=O)O)N.CC(CCC(=O)O)(C(=O)O)N.O
10017-37-5,CC(C)(C)N.Cl,CC(C)(C)N.Cl
2978-58-7,CC(C)(C#C)N,CC(C)(C#C)N
1132-26-9,CC(CC1=CC=CC=C1)(C(=O)O)N,CC(CC1=CC=CC=C1)(C(=O)O)N
7361-31-1,CC(CC1=CC=C(C=C1)O)(C(=O)OC)N.Cl,CC(CC1=CC=C(C=C1)O)(C(=O)OC)N.Cl
594-39-8,CCC(C)(C)N,CCC(C)(C)N
62-57-7,CC(C)(C(=O)O)N,CC(C)(C(=O)O)N
50846-36-1,CC(C)(C#N)N.Cl,CC(C)(C#N)N.Cl
19355-69-2,CC(C)(C#N)N,CC(C)(C#N)N
68189-42-4,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O.C(C(CO)(CO)N)O.C(C(CO)(CO)N)O,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O.C(C(CO)(CO)N)O.C(C(CO)(CO)N)O
77-86-1,C(C(CO)(CO)N)O,C(C(CO)(CO)N)O
1269447-04-2,C1CCC(CC1)(C(=O)O)N.Br,C1CCC(CC1)(C(=O)O)N.Br
39692-17-6,C1CCC(CC1)(C(=O)O)N.Cl,C1CCC(CC1)(C(=O)O)N.Cl
1185-53-1,C(C(CO)(CO)N)O.Cl,C(C(CO)(CO)N)O.Cl
52-52-8,C1CCC(C1)(C(=O)O)N,C1CCC(C1)(C(=O)O)N
30389-18-5,C#CC1(CCCCC1)N,C#CC1(CCCCC1)N
3060-50-2,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)N
71-90-9,CC(CCC(=O)O)(C(=O)O)N,CC(CCC(=O)O)(C(=O)O)N
22059-21-8,C1CC1(C(=O)O)N,C1CC1(C(=O)O)N
811-93-8,CC(C)(CN)N,CC(C)(CN)N
2586-60-9,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)O)S(=O)(=O)[O-])N)N=NC5=C(C=CC6=CC(=CC(=C65)O)S(=O)(=O)[O-])N.[Na+].[Na+],C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)O)S(=O)(=O)[O-])N)N=NC5=C(C=CC6=CC(=CC(=C65)O)S(=O)(=O)[O-])N.[Na+].[Na+]
3566-44-7,COC1=CC=C(C=C1)NC2=CC=C(C=C2)N.Cl,COC1=CC=C(C=C1)NC2=CC=C(C=C2)N.Cl
18189-02-1,CC(C)OC(=O)C1=CC=CC=C1N,CC(C)OC(=O)C1=CC=CC=C1N
2051-79-8,CCN(CC)C1=CC(=C(C=C1)N)C.Cl,CCN(CC)C1=CC(=C(C=C1)N)C.Cl
120-35-4,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)N,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)N
608-30-0,C1=CC(=C(C(=C1)Br)N)Br,C1=CC(=C(C(=C1)Br)N)Br
202925-03-9,CC1=C(C=CC(=C1)N)Br.Cl,CC1=C(C=CC(=C1)N)Br.Cl
108-44-1,CC1=CC(=CC=C1)N,CC1=CC(=CC=C1)N
614-94-8,COC1=C(C=C(C=C1)N)N.Cl.Cl,COC1=C(C=C(C=C1)N)N.Cl.Cl
90-51-7,C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)O)N,C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)O)N
59-46-1,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
51388-20-6,C1=CC=C(C=C1)COC2=CC=C(C=C2)N.Cl,C1=CC=C(C=C1)COC2=CC=C(C=C2)N.Cl
776-34-1,C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])N,C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])N
1951444-61-3,C1=CC(=C(C=C1N)[N+](=O)[O-])Cl.OS(=O)(=O)O,C1=CC(=C(C=C1N)[N+](=O)[O-])Cl.OS(=O)(=O)O
2840-28-0,C1=CC(=C(C=C1C(=O)O)N)Cl,C1=CC(=C(C=C1C(=O)O)N)Cl
1038-66-0,C1(=C(C(=C(C(=C1F)F)N)F)F)C2=C(C(=C(C(=C2F)F)N)F)F,C1(=C(C(=C(C(=C1F)F)N)F)F)C2=C(C(=C(C(=C2F)F)N)F)F
504-24-5,C1=CN=CC=C1N,C1=CN=CC=C1N
99-92-3,CC(=O)C1=CC=C(C=C1)N,CC(=O)C1=CC=C(C=C1)N
875-51-4,C1=CC(=C(C=C1Br)[N+](=O)[O-])N,C1=CC(=C(C=C1Br)[N+](=O)[O-])N
39267-74-8,C1(=C(N=C(NC1=O)N)N)N.OS(=O)(=O)O,C1(=C(N=C(NC1=O)N)N)N.OS(=O)(=O)O
615-05-4,COC1=C(C=C(C=C1)N)N,COC1=C(C=C(C=C1)N)N
24812-90-6,COC1=C(C=C(C=C1)C(=O)OC)N,COC1=C(C=C(C=C1)C(=O)OC)N
349-65-5,COC1=C(C=C(C=C1)C(F)(F)F)N,COC1=C(C=C(C=C1)C(F)(F)F)N
6315-89-5,COC1=C(C=C(C=C1)N)OC,COC1=C(C=C(C=C1)N)OC
5794-88-7,C1=CC(=C(C=C1Br)C(=O)O)N,C1=CC(=C(C=C1Br)C(=O)O)N
606-41-7,C1=CC=C2C(=C1)C=CC(=C2O)N,C1=CC=C2C(=C1)C=CC(=C2O)N
56746-19-1,CCC1=CC(=CC(=C1N)CC)Br,CCC1=CC(=CC(=C1N)CC)Br
635-22-3,C1=CC(=C(C=C1N)[N+](=O)[O-])Cl,C1=CC(=C(C=C1N)[N+](=O)[O-])Cl
95-84-1,CC1=CC(=C(C=C1)O)N,CC1=CC(=C(C=C1)O)N
14631-08-4,C1=C(C(=NC(=N1)Cl)N)N,C1=C(C(=NC(=N1)Cl)N)N
94-09-7,CCOC(=O)C1=CC=C(C=C1)N,CCOC(=O)C1=CC=C(C=C1)N
67827-72-9,COC1=C(C=C(C=C1)[N+](=O)[O-])N.Cl,COC1=C(C=C(C=C1)[N+](=O)[O-])N.Cl
24544-08-9,CCC1=CC(=CC(=C1N)CC)C,CCC1=CC(=CC(=C1N)CC)C
454-79-5,C1=CC(=C(C=C1C(F)(F)F)N)Br,C1=CC(=C(C=C1C(F)(F)F)N)Br
51-05-8,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl
39859-36-4,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)N,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)N
207226-02-6,C#CC1=CC(=CC=C1)N.Cl,C#CC1=CC(=CC=C1)N.Cl
131-22-6,C1=CC=C(C=C1)N=NC2=CC=C(C3=CC=CC=C32)N,C1=CC=C(C=C1)N=NC2=CC=C(C3=CC=CC=C32)N
63-74-1,C1=CC(=CC=C1N)S(=O)(=O)N,C1=CC(=CC=C1N)S(=O)(=O)N
17823-38-0,C(#N)C1=C(C(=C(C(=C1F)F)N)F)F,C(#N)C1=C(C(=C(C(=C1F)F)N)F)F
2840-00-8,C1(=C(C(=NC(=C1Cl)F)F)Cl)N,C1(=C(C(=NC(=C1Cl)F)F)Cl)N
107100-16-3,CC1=C(C=C(C(=C1C)N)N)Br,CC1=C(C=C(C(=C1C)N)N)Br
3325-11-9,C1=CC2=NNN=C2C=C1N,C1=CC2=NNN=C2C=C1N
521-31-3,C1=CC2=C(C(=C1)N)C(=O)NNC2=O,C1=CC2=C(C(=C1)N)C(=O)NNC2=O
19176-60-4,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)[N+](=O)[O-])N,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)[N+](=O)[O-])N
99-09-2,C1=CC(=CC(=C1)[N+](=O)[O-])N,C1=CC(=CC(=C1)[N+](=O)[O-])N
367-30-6,C1=CC(=C(C=C1F)N)F,C1=CC(=C(C=C1F)N)F
13138-48-2,CC1=C(C2=CC=CC=C2C(=C1)C3=CC(=C(C4=CC=CC=C43)N)C)N,CC1=C(C2=CC=CC=C2C(=C1)C3=CC(=C(C4=CC=CC=C43)N)C)N
